S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"na",Na,"i1,i2,i3,i4",97 H, 4, na, na, na, 0, na, na
2,"RC0603JR-0710KL",Yageo,"r1,r13,r42,r43,r44,r45,r55,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r93,r95,r96,r101,r102,r103,r104,r105",10000 ohm, 29, 8603, 2879583, 0.00240, 0.0696, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
3,"RC0603JR-071KL",Yageo,"r2,r77,r83",1000 ohm, 3, 5774, RC0603JR-071KL, 0.00170, 0.0051, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
4,"RC0603JR-07910RL",Yageo,"r3",910 ohm, 1, 50, C1S900100949831, 0.04390, 0.0439, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c34cf3&sid=13512&ppid=1162648&vpid=281203337&ct=offers, Chip One Stop Japan
5,"RC0603JR-074K7L",Yageo,"r4,r5,r6,r7",4700 ohm, 4, 29513, RC0603JR-074K7L, 0.01500, 0.06, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
6,"RC0603JR-072K2L",Yageo,"r8,r9,r10,r11",2200 ohm, 4, 55803, 98K7303, 0.00100, 0.004, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
7,"RC0603JR-0722RL",Yageo,"r12",22 ohm, 1, 269886, RC0603JR-0722RL, 0.01350, 0.0135, https://octopart.com/click/track?country=IN&ak=17001198&sig=001827e&sid=2412&ppid=55508102&vpid=195934250&ct=offers, Quest
8,"AM3356BZCZA80",Texas Instruments,"u1",AM3356BZCZA80 , 1, 1284, AM3356BZCZA80, 18.54000, 18.54, https://octopart.com/click/track?country=IN&ak=17001198&sig=01cf47d&sid=27219&ppid=28172615&vpid=267005356&ct=offers, TI store
9,"c0402c104k3ractu",Kemet,"c1,c2,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c91,c93,c102,c104,c119,c123,c127,c129",1.0E-7 F, 33, 7350, C0402C104K3RACTU**MULT1, 0.04050, 1.3365, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
10,"RC0603FR-0749R9L",Yageo,"r14,r52,r53,r54,r56",49.9 ohm, 5, 44400, RC0603FR-0749R9L, 0.01800, 0.09, https://octopart.com/click/track?country=IN&ak=17001198&sig=04f1a15&sid=2412&ppid=1201777&vpid=34915966&ct=offers, Quest
11,"c0805c106k8ractu",Kemet,"c3,c12,c22,c27,c28,c29,c30,c57,c59,c63,c66,c69,c72,c75,c78,c92,c117,c121,c125",1.0E-5 F, 19, 2460, C0805C106K8RAC, 0.13419, 2.54961, https://octopart.com/click/track?country=IN&ak=17001198&sig=0d23c94&sid=1532&ppid=22566626&vpid=278058562&ct=offers, TME
12,"c0402c103k3rac",Kemet,"c4,c5,c6,c7,c8,c9,c10,c11,c13,c14,c15,c16,c17,c18,c19,c20,c21,c23,c24,c25,c26,c54,c55,c56,c58,c60,c61,c62,c64,c65,c67,c68,c70,c71,c73,c74,c76,c77,c79,c80,c81,c82,c83,c84,c101,c106,c109,c114,c136,c137,c138,c139",1.0E-8 F, 52, 118031, C0402C103K3RAC, 0.04500, 2.34, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
13,"c0603c105k3ractu",Kemet,"c85,c86,c87,c88,c95,c96,c98,c112,c118,c122,c126",1.0E-6 F, 11, 143, C0603C105K3RACTU**MULT1, 0.20540, 2.2594, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
14,"RC0603JR-07100KL",Yageo,"r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r71,r72,r74,r75,r78,r80,r81",100000 ohm, 34, 34348, RC0603JR-07100KL, 0.01500, 0.51, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b5505b&sid=2412&ppid=55458503&vpid=195934242&ct=offers, Quest
15,"c0402c120k3rac",Kemet,"c89,c90",1.2E-11 F, 2, na, na, na, na, na, na
16,"10100565",Amphenol,"u2",10100565 , 1, na, na, na, na, na, na
17,"FTSH-105-01-L-DV-K",Samtec,"u3",FTSH-105-01-L-DV-K , 1, 13, FTSH-105-01-L-DV-K, 1.59600, 1.596, https://octopart.com/click/track?country=IN&ak=17001198&sig=03e3f8a&sid=13062&ppid=8443669&vpid=237880374&ct=offers, Freelance Electronics
18,"ERJ-3GEYJ5R1V",Panasonic,"r46",5 ohm, 1, 39408, 65T8658, 0.00200, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=0ce5067&sid=2402&ppid=55422129&vpid=191370920&ct=offers, Newark
19,"LAN8710AI-EZK",Microchip,"u4",LAN8710AI-EZK , 1, 49, 69W9460, 1.18000, 1.18, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c20248&sid=2402&ppid=24995090&vpid=96333837&ct=offers, Newark
20,"7498011122R",WURTH ELEKTRONIK,"u5",7498011122R , 1, 189, 732-4501-1-ND, 10.21000, 10.21, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b1078d&sid=459&ppid=28997922&vpid=76523781&ct=offers, Digi-Key
21,"c0402c223k3rac",Kemet,"c94",2.2E-8 F, 1, 94, C0402C223K3RAC, 0.26000, 0.26, https://octopart.com/click/track?country=IN&ak=17001198&sig=0bd40c7&sid=1106&ppid=22233080&vpid=248819428&ct=offers, Arrow
22,"ERJ-3RSFR10V",Panasonic,"r47,r48",0.1 ohm, 2, 9277, ERJ3RSFR10V, 0.13900, 0.278, https://octopart.com/click/track?country=IN&ak=17001198&sig=00536d2&sid=2412&ppid=55422226&vpid=165597690&ct=offers, Quest
23,"RC0603JR-07200RL",Yageo,"r49,r50",200 ohm, 2, 3426, 68R0166, 0.00100, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b40c0&sid=2402&ppid=1289196&vpid=21831780&ct=offers, Newark
24,"TNPW060312K1BEEA",Vishay Dale,"r51",12100 ohm, 1, na, na, na, na, na, na
