S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-074K7L",Yageo,"r1,r5,r6,r7,r8,r9,r10,r11,r12,r14,r15,r26,r27",4700 ohm, 13, 29513, RC0603JR-074K7L, 0.01500, 0.195, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
2,"RC0603JR-0710KL",Yageo,"r2,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r88,r90,r91,r96,r97,r98,r99,r100",10000 ohm, 19, 8603, 2879583, 0.00240, 0.0456, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
3,"RC0603JR-071KL",Yageo,"r3,r25,r66,r69,r84",1000 ohm, 5, 5774, RC0603JR-071KL, 0.00170, 0.0085, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
4,"na",Na,"r4",1600.5 ohm, 1, na, na, na, 0, na, na
5,"RC0603JR-072K2L",Yageo,"r13,r63,r81",2200 ohm, 3, 55803, 98K7303, 0.00100, 0.003, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
6,"MCIMX6Q7CVT08AD",NXP,"u1",MCIMX6Q7CVT08AD , 1, 780, 841-MCIMX6Q7CVT08AD, 60.14000, 60.14, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b128bf&sid=2401&ppid=70303354&vpid=251553134&ct=offers, Mouser
7,"nc7sz125m5x",On Semi,"u2,u3,u33,u34,u35,u36,u37,u38,u39",nc7sz125m5x , 9, 1945, NC7SZ125M5X, 0.03000, 0.27, https://octopart.com/click/track?country=IN&ak=17001198&sig=041986c&sid=13803&ppid=425682&vpid=81172668&ct=offers, ExcessParts.Net
8,"c0402c120k3rac",Kemet,"c1,c2,c3,c4",1.2E-11 F, 4, na, na, na, na, na, na
9,"ERJ-3EKF6041V",Panasonic,"r16,r17",6040 ohm, 2, 1610, 65T8497, 0.00300, 0.006, https://octopart.com/click/track?country=IN&ak=17001198&sig=0d2a806&sid=2402&ppid=55421853&vpid=191370641&ct=offers, Newark
10,"RC0603JR-071K6L",Yageo,"r18",1600 ohm, 1, 8582, RC0603JR-071K6L, 0.01800, 0.018, https://octopart.com/click/track?country=IN&ak=17001198&sig=08ebc5b&sid=2412&ppid=39788483&vpid=123662384&ct=offers, Quest
