S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r5,r30,r31",10000 ohm, 4, 8603, 2879583, 0.00240, 0.0096, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2,r21",1000 ohm, 2, 5774, RC0603JR-071KL, 0.00170, 0.0034, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"na",Na,"r3",1600.5 ohm, 1, na, na, na, 0, na, na
4,"RC0603JR-074K7L",Yageo,"r4",4700 ohm, 1, 29513, RC0603JR-074K7L, 0.01500, 0.015, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"stm32f103zeh7",ST Micro,"u1",stm32f103zeh7 , 1, 34, 99W9811, 5.10000, 5.1, https://octopart.com/click/track?country=IN&ak=17001198&sig=0fec887&sid=2402&ppid=12442878&vpid=87685745&ct=offers, Newark
6,"c0603c105k3ractu",Kemet,"c1,c17,c22,c23,c24,c25,c26,c27,c28,c33",1.0E-6 F, 10, 143, C0603C105K3RACTU**MULT1, 0.20540, 2.054, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
7,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13",1.0E-7 F, 12, 1585, 06035C104K4Z2A**MULT1, 0.04920, 0.5904, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c44469&sid=1106&ppid=18078370&vpid=179587332&ct=offers, Arrow
8,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
9,"GRM188R6YA475KE15D",Murata,"c14",4.7E-6 F, 1, 977339, 490-7205-6-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767ac1&sid=459&ppid=26982329&vpid=68513478&ct=offers, Digi-Key
10,"06035C103K4Z2A",Avx,"c15,c16",1.0E-8 F, 2, 54256, 581-06035C103K4Z2A, 0.22000, 0.44, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
11,"C0402C100K3GACTU",Kemet,"c18,c19",1.0E-11 F, 2, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.4434, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
12,"10100565",Amphenol,"u2",10100565 , 1, na, na, na, na, na, na
13,"RC0603JR-07100KL",Yageo,"r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r19",100000 ohm, 12, 34348, RC0603JR-07100KL, 0.01500, 0.18, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b5505b&sid=2412&ppid=55458503&vpid=195934242&ct=offers, Quest
14,"c0402c104k3ractu",Kemet,"c20,c29,c30,c31,c32,c41,c42,c47",1.0E-7 F, 8, 7350, C0402C104K3RACTU**MULT1, 0.04050, 0.324, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
15,"c0805c106k8ractu",Kemet,"c21",1.0E-5 F, 1, 2460, C0805C106K8RAC, 0.13419, 0.13419, https://octopart.com/click/track?country=IN&ak=17001198&sig=0d23c94&sid=1532&ppid=22566626&vpid=278058562&ct=offers, TME
16,"SGTL5000XNAA3",Freescale,"u3",SGTL5000XNAA3 , 1, 503, 14R9109, 1.73000, 1.73, https://octopart.com/click/track?country=IN&ak=17001198&sig=01f73aa&sid=2402&ppid=70302731&vpid=247768501&ct=offers, Newark
17,"SJ-43515TS-SMT-TR",CUI Inc.,"u4,u5,u6",SJ-43515TS-SMT-TR , 3, 2884, SJ-43515TS-SMT-TR**MULT1, 1.05830, 3.1749, https://octopart.com/click/track?country=IN&ak=17001198&sig=008ae43&sid=1106&ppid=25947234&vpid=420712956&ct=offers, Arrow
18,"WM-64PCT",Panasonic,"u7",WM-64PCT , 1, na, na, na, na, na, na
19,"RC0603FR-071K27L",Yageo,"r17,r18",1270 ohm, 2, 4752, RC0603FR-071K27L, 0.01350, 0.027, https://octopart.com/click/track?country=IN&ak=17001198&sig=05b85f3&sid=2412&ppid=39787701&vpid=118395463&ct=offers, Quest
20,"47590-0001",Molex,"u8",47590-0001 , 1, 1335, MOL47590-0001.P, 0.53127, 0.53127, https://octopart.com/click/track?country=IN&ak=17001198&sig=02bee91&sid=8539&ppid=7614144&vpid=112315768&ct=offers, Heilind Electronics
21,"prtr5v0u2ax",NXP,"u9",prtr5v0u2ax , 1, 28, PRTR5V0U2AX, 0.40000, 0.4, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b89f8&sid=2412&ppid=7883294&vpid=248200500&ct=offers, Quest
22,"Dummy Connector Part",Dummy,"u19",Dummy Connector Part , 1, na, na, na, na, na, na
23,"ABLS-25.000MHZ-B2F-T",ABRACON,"u10",ABLS-25.000MHZ-B2F-T , 1, 498, 6208136, 0.20500, 0.205, https://octopart.com/click/track?country=IN&ak=17001198&sig=0633348&sid=2454&ppid=46720&vpid=19641011&ct=offers, Future Electronics
24,"ASEK-32.768KHz-ECST",Abracon,"u11",ASEK-32.768KHz-ECST , 1, na, na, na, na, na, na
25,"c0402c103k3rac",Kemet,"c34,c35,c36,c50",1.0E-8 F, 4, 118031, C0402C103K3RAC, 0.04500, 0.18, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
26,"ASFL-24.57MHZ-NCS",Abracon,"u12",ASFL-24.57MHZ-NCS , 1, na, na, na, na, na, na
27,"LP3878SDX-ADJ/NOPB ",TI,"u13",LP3878SDX-ADJ/NOPB  , 1, 1811, 926-LP3878SDXADJNOPB, 2.15000, 2.15, https://octopart.com/click/track?country=IN&ak=17001198&sig=0aea548&sid=2401&ppid=24851991&vpid=271405020&ct=offers, Mouser
28,"C1210C106K5PACTU",Kemet,"c37",1.0E-5 F, 1, 23365, C1210C106K5PACTU**MULT1, 0.78550, 0.7855, https://octopart.com/click/track?country=IN&ak=17001198&sig=05a84ef&sid=1106&ppid=34997840&vpid=169995013&ct=offers, Arrow
29,"grm219R60J106ME19D",Murata,"c38",1.0E-5 F, 1, 3400, GRM219R60J106ME19D**MULT, 0.22050, 0.2205, https://octopart.com/click/track?country=IN&ak=17001198&sig=0aba6c4&sid=1106&ppid=7895572&vpid=324293768&ct=offers, Arrow
30,"RC0603JR-07200RL",Yageo,"r20",200 ohm, 1, 3426, 68R0166, 0.00100, 0.001, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b40c0&sid=2402&ppid=1289196&vpid=21831780&ct=offers, Newark
31,"IR3899MTR1PBF",Infineon,"u14",IR3899MTR1PBF , 1, na, na, na, na, na, na
32,"grm32er61a107me20l",Murata,"c39",0.0001 F, 1, 1140, C84455, 0.62400, 0.624, https://octopart.com/click/track?country=IN&ak=17001198&sig=0803d49&sid=27971&ppid=33260274&vpid=445987221&ct=offers, LCSC
33,"ERJ-3RSFR10V",Panasonic,"r22",0.1 ohm, 1, 9277, ERJ3RSFR10V, 0.13900, 0.139, https://octopart.com/click/track?country=IN&ak=17001198&sig=00536d2&sid=2412&ppid=55422226&vpid=165597690&ct=offers, Quest
34,"c0603c225k8ractu",Kemet,"c40",2.2E-6 F, 1, 1244, 96Y7019, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
35,"ihlp2525czerr68m01",Vishay,"i1",6.8E-7 H, 1, 632, 53K4847, 1.11000, 1.11, https://octopart.com/click/track?country=IN&ak=17001198&sig=0a14a32&sid=2402&ppid=39619637&vpid=249275498&ct=offers, Newark
36,"na",Na,"r23",4030.2416170974 ohm, 1, na, na, na, 0, na, na
37,"na",Na,"r24",719.68600305311 ohm, 1, na, na, na, 0, na, na
38,"na",Na,"c43",8.624E-5 F, 1, na, na, na, 0, na, na
39,"na",Na,"c44",6.9430689229727E-9 F, 1, na, na, na, 0, na, na
40,"RC0603JR-0775RL",Yageo,"r25",75 ohm, 1, 20000, RC0603JR-0775RL, 0.00090, 0.0009, https://octopart.com/click/track?country=IN&ak=17001198&sig=0efad79&sid=14968&ppid=1198912&vpid=54441707&ct=offers, Wuhan P&S
41,"na",Na,"c45",2.3669553146498E-7 F, 1, na, na, na, 0, na, na
42,"RC0603JR-07130RL",Yageo,"r26",130 ohm, 1, 3290, RC0603JR-07130RL, 0.01500, 0.015, https://octopart.com/click/track?country=IN&ak=17001198&sig=016a91e&sid=2412&ppid=39787402&vpid=165654950&ct=offers, Quest
43,"c0402c222k3rac",Kemet,"c46",2.2E-9 F, 1, 20000, 80-C0402C222K3RAC, 0.01100, 0.011, https://octopart.com/click/track?country=IN&ak=17001198&sig=0936221&sid=2401&ppid=7833723&vpid=58962196&ct=offers, Mouser
44,"RC0603JR-0739KL",Yageo,"r27",39000 ohm, 1, 5065, 68R0185, 0.06000, 0.06, https://octopart.com/click/track?country=IN&ak=17001198&sig=028f7ab&sid=2402&ppid=40953104&vpid=115424286&ct=offers, Newark
45,"RC0603FR-0749K9",Yageo,"r28",49900 ohm, 1, 4898, RC0603FR-0749K9, 0.00500, 0.005, https://octopart.com/click/track?country=IN&ak=17001198&sig=03693f5&sid=13184&ppid=8100676&vpid=58989194&ct=offers, Component Sense
