S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r3,r9,r10,r11,r12,r13,r14,r15,r16,r17,r19,r20,r21,r22,r23,r30,r33,r34,r39",10000 ohm, 20, 8603, 2879583, 0.00240, 0.048, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2,r4",1000 ohm, 2, 5774, RC0603JR-071KL, 0.00170, 0.0034, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"RC0603JR-07910RL",Yageo,"r5,r6",910 ohm, 2, 50, C1S900100949831, 0.04390, 0.0878, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c34cf3&sid=13512&ppid=1162648&vpid=281203337&ct=offers, Chip One Stop Japan
4,"RC0603JR-074K7L",Yageo,"r7,r8",4700 ohm, 2, 29513, RC0603JR-074K7L, 0.01500, 0.03, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"STM32F405OGY6",ST Micro,"u1",STM32F405OGY6 , 1, na, na, na, na, na, na
6,"c0603c105k3ractu",Kemet,"c1,c10,c13,c23,c43",1.0E-6 F, 5, 143, C0603C105K3RACTU**MULT1, 0.20540, 1.027, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
7,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7",1.0E-7 F, 6, 1850, 06035C104K4Z2A/BKN, 0.14259, 0.85554, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e53ecb&sid=5822&ppid=18078370&vpid=274758521&ct=offers, Avnet
8,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
9,"GRM188R6YA475KE15D",Murata,"c8",4.7E-6 F, 1, 976930, 490-7205-1-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=09b8009&sid=459&ppid=26982329&vpid=68513476&ct=offers, Digi-Key
10,"06035C103K4Z2A",Avx,"c9",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
11,"c0603c225k8ractu",Kemet,"c11,c12,c19,c22",2.2E-6 F, 4, 1244, 96Y7019, 0.22000, 0.88, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
12,"TST-110-05-T-D-RA",Samtec,"u2",TST-110-05-T-D-RA , 1, 76, TST-110-05-T-D-RA, 1.91550, 1.9155, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b084aa&sid=1106&ppid=12549072&vpid=21239260&ct=offers, Arrow
13,"c0402c104k3ractu",Kemet,"c14,c15,c16,c18,c20,c21,c28,c29,c30,c31,c32,c49,c53,c55",1.0E-7 F, 14, 7350, C0402C104K3RACTU**MULT1, 0.04050, 0.567, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
14,"MAX3051EKA+T",Maxim Integrated,"u3",MAX3051EKA+T , 1, 14230, MAX3051EKA+TDKR-ND, 3.30000, 3.3, https://octopart.com/click/track?country=IN&ak=17001198&sig=0a40cfd&sid=459&ppid=43950435&vpid=115951358&ct=offers, Digi-Key
15,"182-009-113R531",Norcomp Inc,"u4",182-009-113R531 , 1, 10, 182-009-113R531, 0.61000, 0.61, https://octopart.com/click/track?country=IN&ak=17001198&sig=005db22&sid=13803&ppid=233990&vpid=53541430&ct=offers, ExcessParts.Net
16,"RC0603JR-07120RL",Yageo,"r18",120 ohm, 1, 6, 1234913, 0.00240, 0.0024, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e5a50c&sid=2454&ppid=40952985&vpid=416981812&ct=offers, Future Electronics
17,"S25FL128SDPNFI001",Spansion,"u5",S25FL128SDPNFI001 , 1, 22, S25FL128SDPNFI001, 3.15300, 3.153, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f5ab37&sid=1106&ppid=65155698&vpid=228335948&ct=offers, Arrow
18,"c0402c103k3rac",Kemet,"c17,c38,c39,c40,c41,c52,c54,c56,c57,c58",1.0E-8 F, 10, 118031, C0402C103K3RAC, 0.04500, 0.45, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
19,"TUSB1210BRHBR",Texas Instruments,"u6",TUSB1210BRHBR , 1, 7319, TUSB1210BRHBR, 1.61000, 1.61, https://octopart.com/click/track?country=IN&ak=17001198&sig=097ed05&sid=5832&ppid=18515835&vpid=182254004&ct=offers, Rochester Electronics
20,"10118193-0001LF",FCI,"u7,u9",10118193-0001LF , 2, 10033, 70236827, 0.22000, 0.44, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e47faf&sid=14&ppid=21265435&vpid=50118000&ct=offers, Allied Electronics
21,"prtr5v0u2ax",NXP,"u8,u10",prtr5v0u2ax , 2, 28, PRTR5V0U2AX, 0.40000, 0.8, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b89f8&sid=2412&ppid=7883294&vpid=248200500&ct=offers, Quest
22,"WM8731CLSEFL",Cirrus Logic,"u11",WM8731CLSEFL , 1, 86, 598-2459-ND, 3.64000, 3.64, https://octopart.com/click/track?country=IN&ak=17001198&sig=01dcdbd&sid=459&ppid=51829787&vpid=423141335&ct=offers, Digi-Key
23,"SJ-43515TS-SMT-TR",CUI Inc.,"u12,u13",SJ-43515TS-SMT-TR , 2, 2884, SJ-43515TS-SMT-TR**MULT1, 1.05830, 2.1166, https://octopart.com/click/track?country=IN&ak=17001198&sig=008ae43&sid=1106&ppid=25947234&vpid=420712956&ct=offers, Arrow
24,"c1210c224k5ractu",Kemet,"c24,c25",2.2E-5 F, 2, 585, C1210C224K5RACTU, 0.04000, 0.08, https://octopart.com/click/track?country=IN&ak=17001198&sig=040d68b&sid=13803&ppid=106380&vpid=53541722&ct=offers, ExcessParts.Net
25,"RC0603JR-0747KL",Yageo,"r24,r25,r26",47000 ohm, 3, 3381, 3143658, 0.00240, 0.0072, https://octopart.com/click/track?country=IN&ak=17001198&sig=044d537&sid=2454&ppid=55402890&vpid=416981918&ct=offers, Future Electronics
26,"c0402c102k3rac",Kemet,"c26,c27",1.0E-9 F, 2, 218708, C0402C102K3RAC, 0.04500, 0.09, https://octopart.com/click/track?country=IN&ak=17001198&sig=0875b62&sid=2412&ppid=1325398&vpid=3525476&ct=offers, Quest
27,"RC0603JR-07680RL",Yageo,"r27",680 ohm, 1, 4697, 68R0206, 0.00100, 0.001, https://octopart.com/click/track?country=IN&ak=17001198&sig=08184f9&sid=2402&ppid=40953172&vpid=115424310&ct=offers, Newark
28,"c0805c106k8ractu",Kemet,"c33,c34,c35,c36,c37",1.0E-5 F, 5, 2460, C0805C106K8RAC, 0.13419, 0.67095, https://octopart.com/click/track?country=IN&ak=17001198&sig=0d23c94&sid=1532&ppid=22566626&vpid=278058562&ct=offers, TME
29,"ASEK-32.768KHz-ECST",Abracon,"u14",ASEK-32.768KHz-ECST , 1, na, na, na, na, na, na
30,"ASFL1-12.288MHZ-EC-T",Abracon,"u15",ASFL1-12.288MHZ-EC-T , 1, 1840, ASFL1-12.288MHZ-EC-T, 1.19180, 1.1918, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b965f8&sid=1106&ppid=317620&vpid=78497075&ct=offers, Arrow
31,"ASFL1-19.2MHZ-NCS",Abracon,"u16",ASFL1-19.2MHZ-NCS , 1, na, na, na, na, na, na
32,"ASFL1-25MHZ-NCS",Abracon,"u17",ASFL1-25MHZ-NCS , 1, na, na, na, na, na, na
