S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r8,r9,r10,r11,r12,r13,r14,r15,r18,r19,r39,r40",10000 ohm, 13, 8603, 2879583, 0.00240, 0.0312, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2",1000 ohm, 1, 5774, RC0603JR-071KL, 0.00170, 0.0017, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"RC0603JR-07910RL",Yageo,"r3",910 ohm, 1, 50, C1S900100949831, 0.04390, 0.0439, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c34cf3&sid=13512&ppid=1162648&vpid=281203337&ct=offers, Chip One Stop Japan
4,"RC0603JR-074K7L",Yageo,"r4,r5",4700 ohm, 2, 29513, RC0603JR-074K7L, 0.01500, 0.03, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"RC0603JR-072K2L",Yageo,"r6,r7",2200 ohm, 2, 55803, 98K7303, 0.00100, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
6,"STM32F417VGT6",ST Micro,"u1",STM32F417VGT6 , 1, 17, C1S730200704326, 11.00000, 11, https://octopart.com/click/track?country=IN&ak=17001198&sig=02195d6&sid=13512&ppid=20570122&vpid=279947863&ct=offers, Chip One Stop Japan
7,"c0603c105k3ractu",Kemet,"c1,c12,c22,c28",1.0E-6 F, 4, 143, C0603C105K3RACTU**MULT1, 0.20540, 0.8216, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
8,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7",1.0E-7 F, 6, 500, 478-6344-1-ND, 0.12000, 0.72, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b34802&sid=459&ppid=18078370&vpid=34764829&ct=offers, Digi-Key
9,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
10,"GRM188R6YA475KE15D",Murata,"c8",4.7E-6 F, 1, 971417, 490-7205-6-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767ac1&sid=459&ppid=26982329&vpid=68513478&ct=offers, Digi-Key
11,"c0603c225k8ractu",Kemet,"c9,c10,c19,c24,c27,c32,c42",2.2E-6 F, 7, 1244, 96Y7019, 0.22000, 1.54, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
12,"06035C103K4Z2A",Avx,"c11",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
13,"C0402C100K3GACTU",Kemet,"c13,c14",1.0E-11 F, 2, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.4434, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
14,"mt29f4g08abbdah4",Micron,"u2",mt29f4g08abbdah4 , 1, na, na, na, na, na, na
15,"c0402c104k3ractu",Kemet,"c15,c16,c17,c18,c20,c21,c23,c25,c26,c33,c34,c43,c44,c49",1.0E-7 F, 14, 7350, C0402C104K3RACTU**MULT1, 0.04050, 0.567, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
16,"TSC2013QRSARQ1",Texas Instruments,"u3",TSC2013QRSARQ1 , 1, 2731, TSC2013QRSARQ1, 2.02000, 2.02, https://octopart.com/click/track?country=IN&ak=17001198&sig=0ec9f51&sid=27219&ppid=47307875&vpid=267034459&ct=offers, TI store
17,"HTSS-105-01-G-D",Samtec,"u4",HTSS-105-01-G-D , 1, 144, SAM9511-ND, 2.54000, 2.54, https://octopart.com/click/track?country=IN&ak=17001198&sig=02c4d9b&sid=459&ppid=17492966&vpid=416794412&ct=offers, Digi-Key
18,"RC0603JR-0747RL",Yageo,"r16",47 ohm, 1, 3700, RC0603JR-0747RL, 0.00150, 0.0015, https://octopart.com/click/track?country=IN&ak=17001198&sig=04118c9&sid=13811&ppid=40953135&vpid=189264398&ct=offers, Area51
19,"TUSB1210BRHBR",Texas Instruments,"u5",TUSB1210BRHBR , 1, 7319, TUSB1210BRHBR, 1.61000, 1.61, https://octopart.com/click/track?country=IN&ak=17001198&sig=097ed05&sid=5832&ppid=18515835&vpid=182254004&ct=offers, Rochester Electronics
20,"47590-0001",Molex,"u6",47590-0001 , 1, 1267, MOL47590-0001.P, 0.53127, 0.53127, https://octopart.com/click/track?country=IN&ak=17001198&sig=02bee91&sid=8539&ppid=7614144&vpid=112315768&ct=offers, Heilind Electronics
21,"prtr5v0u2ax",NXP,"u7",prtr5v0u2ax , 1, 28, PRTR5V0U2AX, 0.40000, 0.4, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b89f8&sid=2412&ppid=7883294&vpid=248200500&ct=offers, Quest
22,"MAX4995AAUT+T",Maxim,"u8",MAX4995AAUT+T , 1, 2472, MAX4995AAUT+T/BKN, 3.10157, 3.10157, https://octopart.com/click/track?country=IN&ak=17001198&sig=0012ba4&sid=5822&ppid=43946224&vpid=328799199&ct=offers, Avnet
23,"RC0603JR-0747KL",Yageo,"r17",47000 ohm, 1, 3381, 3143658, 0.00240, 0.0024, https://octopart.com/click/track?country=IN&ak=17001198&sig=044d537&sid=2454&ppid=55402890&vpid=416981918&ct=offers, Future Electronics
24,"ABS07-32.768KHZ-7-T",ABRACON,"u9",ABS07-32.768KHZ-7-T , 1, 806, 6065130, 0.37500, 0.375, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e162bd&sid=2454&ppid=657767&vpid=109606380&ct=offers, Future Electronics
25,"ASFL1-25MHZ-NCS",Abracon,"u10",ASFL1-25MHZ-NCS , 1, na, na, na, na, na, na
26,"c0402c103k3rac",Kemet,"c29,c30,c52,c53",1.0E-8 F, 4, 118031, C0402C103K3RAC, 0.04500, 0.18, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
27,"ASFL1-26MHZ-NCS",Abracon,"u11",ASFL1-26MHZ-NCS , 1, na, na, na, na, na, na
28,"IR3899MTR1PBF",Infineon,"u12,u14",IR3899MTR1PBF , 2, na, na, na, na, na, na
