S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r3,r10,r11,r12,r13,r14,r15,r16,r17,r19,r20,r21,r22,r23,r24,r25,r32,r39,r40",10000 ohm, 20, 8603, 2879583, 0.00240, 0.048, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2,r4,r35,r38",1000 ohm, 4, 5774, RC0603JR-071KL, 0.00170, 0.0068, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"RC0603JR-07910RL",Yageo,"r5,r6",910 ohm, 2, 50, C1S900100949831, 0.04390, 0.0878, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c34cf3&sid=13512&ppid=1162648&vpid=281203337&ct=offers, Chip One Stop Japan
4,"RC0603JR-074K7L",Yageo,"r7,r8,r9",4700 ohm, 3, 29513, RC0603JR-074K7L, 0.01500, 0.045, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"STM32F429IEH6",ST Micro,"u1",STM32F429IEH6 , 1, 224, 42Y1048, 12.48000, 12.48, https://octopart.com/click/track?country=IN&ak=17001198&sig=011ffe8&sid=2402&ppid=42272231&vpid=217108341&ct=offers, Newark
6,"c0603c105k3ractu",Kemet,"c1,c19,c26,c32,c34",1.0E-6 F, 5, 143, C0603C105K3RACTU**MULT1, 0.20540, 1.027, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
7,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16",1.0E-7 F, 15, 1850, 06035C104K4Z2A/BKN, 0.14259, 2.13885, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e53ecb&sid=5822&ppid=18078370&vpid=274758521&ct=offers, Avnet
8,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
9,"GRM188R6YA475KE15D",Murata,"c17",4.7E-6 F, 1, 976930, 490-7205-1-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=09b8009&sid=459&ppid=26982329&vpid=68513476&ct=offers, Digi-Key
10,"06035C103K4Z2A",Avx,"c18",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
11,"c0603c225k8ractu",Kemet,"c20,c21,c28,c30",2.2E-6 F, 4, 1244, 96Y7019, 0.22000, 0.88, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
12,"C0402C100K3GACTU",Kemet,"c22,c23",1.0E-11 F, 2, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.4434, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
13,"FTSH-105-01-L-DV-K",Samtec,"u2",FTSH-105-01-L-DV-K , 1, 13, FTSH-105-01-L-DV-K, 1.59600, 1.596, https://octopart.com/click/track?country=IN&ak=17001198&sig=03e3f8a&sid=13062&ppid=8443669&vpid=237880374&ct=offers, Freelance Electronics
14,"c0402c104k3ractu",Kemet,"c24,c25,c27,c29,c31,c33,c42,c46,c48",1.0E-7 F, 9, 7350, C0402C104K3RACTU**MULT1, 0.04050, 0.3645, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
15,"ERJ-3GEYJ5R1V",Panasonic,"r18",5 ohm, 1, 39408, 65T8658, 0.00200, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=0ce5067&sid=2402&ppid=55422129&vpid=191370920&ct=offers, Newark
16,"RFM75-S",HopeRF,"u3",RFM75-S , 1, 10, RFM75-S-ND, 2.42000, 2.42, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c333e6&sid=459&ppid=73875410&vpid=260820642&ct=offers, Digi-Key
17,"S29VS256RABBHW000",Spansion,"u4",S29VS256RABBHW000 , 1, 102, S29VS256RABBHW000, 9.00000, 9, https://octopart.com/click/track?country=IN&ak=17001198&sig=0350394&sid=2412&ppid=20256489&vpid=39547787&ct=offers, Quest
18,"88-00153-02",Murata,"u5",88-00153-02 , 1, 293, 88-00153-02**MULT1, 16.50500, 16.505, https://octopart.com/click/track?country=IN&ak=17001198&sig=0dcac0f&sid=1106&ppid=34817570&vpid=179869573&ct=offers, Arrow
19,"ERA3ARB3402V",Panasonic,"r26,r27,r28,r29,r30,r31",34000 ohm, 6, 4985, 667-ERA-3ARB3402V, 1.29000, 7.74, https://octopart.com/click/track?country=IN&ak=17001198&sig=02a0564&sid=2401&ppid=22590810&vpid=408980085&ct=offers, Mouser
20,"ABLS-25.000MHZ-B2F-T",ABRACON,"u6",ABLS-25.000MHZ-B2F-T , 1, 498, 6208136, 0.20500, 0.205, https://octopart.com/click/track?country=IN&ak=17001198&sig=0633348&sid=2454&ppid=46720&vpid=19641011&ct=offers, Future Electronics
21,"ASEK-32.768KHz-ECST",Abracon,"u7",ASEK-32.768KHz-ECST , 1, na, na, na, na, na, na
22,"c0402c103k3rac",Kemet,"c35,c36,c39,c45,c47,c49,c50,c51,c52",1.0E-8 F, 9, 118031, C0402C103K3RAC, 0.04500, 0.405, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
