S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"na",Na,"i1,i2,i3,i4",97 H, 4, na, na, na, 0, na, na
2,"RC0603JR-0710KL",Yageo,"r1,r8,r9,r36,r37",10000 ohm, 5, 8603, 2879583, 0.00240, 0.012, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
3,"RC0603JR-071KL",Yageo,"r2,r17,r19,r21,r32",1000 ohm, 5, 5774, RC0603JR-071KL, 0.00170, 0.0085, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
4,"na",Na,"r3",1600.5 ohm, 1, na, na, na, 0, na, na
5,"RC0603JR-074K7L",Yageo,"r4,r5,r15,r16,r18,r20,r22,r23,r24",4700 ohm, 9, 29513, RC0603JR-074K7L, 0.01500, 0.135, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
6,"RC0603JR-072K2L",Yageo,"r6,r7",2200 ohm, 2, 55803, 98K7303, 0.00100, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
7,"STM32F437VIT6",ST Micro,"u1",STM32F437VIT6 , 1, 680, 8060581, 11.66000, 11.66, https://octopart.com/click/track?country=IN&ak=17001198&sig=0bfc1a0&sid=2454&ppid=25972296&vpid=416912077&ct=offers, Future Electronics
8,"c0603c105k3ractu",Kemet,"c1,c12,c24,c25,c27,c28,c29,c30,c31,c32,c33,c34,c35,c40,c41,c42,c43,c44,c45,c46,c47,c52,c61",1.0E-6 F, 23, 143, C0603C105K3RACTU**MULT1, 0.20540, 4.7242, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
9,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7",1.0E-7 F, 6, 500, 478-6344-1-ND, 0.12000, 0.72, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b34802&sid=459&ppid=18078370&vpid=34764829&ct=offers, Digi-Key
10,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
11,"GRM188R6YA475KE15D",Murata,"c8",4.7E-6 F, 1, 971417, 490-7205-1-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=09b8009&sid=459&ppid=26982329&vpid=68513476&ct=offers, Digi-Key
12,"c0603c225k8ractu",Kemet,"c9,c10,c17",2.2E-6 F, 3, 1244, 96Y7019, 0.22000, 0.66, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
13,"06035C103K4Z2A",Avx,"c11",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
14,"C0402C100K3GACTU",Kemet,"c13,c14",1.0E-11 F, 2, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.4434, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
15,"KSZ8081RNBIA-TR",Microchip,"u2",KSZ8081RNBIA-TR , 1, 1195, KSZ8081RNBIA-TR**MULT1, 1.29620, 1.2962, https://octopart.com/click/track?country=IN&ak=17001198&sig=001a028&sid=1106&ppid=66799963&vpid=312161772&ct=offers, Arrow
16,"7498011122R",WURTH ELEKTRONIK,"u3",7498011122R , 1, 189, 732-4501-6-ND, 10.21000, 10.21, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767700&sid=459&ppid=28997922&vpid=76523783&ct=offers, Digi-Key
17,"c0402c104k3ractu",Kemet,"c15,c16,c18,c19,c21,c36,c37,c38,c39,c48,c49,c50,c51,c62,c64",1.0E-7 F, 15, 7350, C0402C104K3RACTU**MULT1, 0.04050, 0.6075, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
18,"ERJ-3RSFR10V",Panasonic,"r10,r11",0.1 ohm, 2, 9277, ERJ3RSFR10V, 0.13900, 0.278, https://octopart.com/click/track?country=IN&ak=17001198&sig=00536d2&sid=2412&ppid=55422226&vpid=165597690&ct=offers, Quest
19,"RC0603JR-07200RL",Yageo,"r12,r31",200 ohm, 2, 3426, 68R0166, 0.00100, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b40c0&sid=2402&ppid=1289196&vpid=21831780&ct=offers, Newark
20,"RC0603JR-07220RL",Yageo,"r13",220 ohm, 1, 9567, 68R0170, 0.00100, 0.001, https://octopart.com/click/track?country=IN&ak=17001198&sig=0cb542a&sid=2402&ppid=40953060&vpid=115424265&ct=offers, Newark
21,"ERJ-3EKF6491V",Panasonic,"r14",6490 ohm, 1, 2300, 65T8506, 0.00300, 0.003, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f38d62&sid=2402&ppid=55509070&vpid=190851699&ct=offers, Newark
