S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r3,r11,r12,r13,r15,r16,r17,r18,r30,r32,r33,r36,r37,r38",10000 ohm, 15, 8603, 2879583, 0.00240, 0.036, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2,r4,r21,r26,r29",1000 ohm, 5, 5774, RC0603JR-071KL, 0.00170, 0.0085, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"na",Na,"r5,r6",1600.5 ohm, 2, na, na, na, 0, na, na
4,"RC0603JR-074K7L",Yageo,"r7,r8,r9",4700 ohm, 3, 29513, RC0603JR-074K7L, 0.01500, 0.045, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"STM32F756NGH6",ST Micro,"u1",STM32F756NGH6 , 1, 862, 497-16250-ND, 17.60000, 17.6, https://octopart.com/click/track?country=IN&ak=17001198&sig=05a17ef&sid=459&ppid=50337464&vpid=241696131&ct=offers, Digi-Key
6,"MAX4995AAUT+T",Maxim,"u2",MAX4995AAUT+T , 1, 2472, MAX4995AAUT+T/BKN, 3.10157, 3.10157, https://octopart.com/click/track?country=IN&ak=17001198&sig=0012ba4&sid=5822&ppid=43946224&vpid=328799199&ct=offers, Avnet
7,"RC0603JR-0747KL",Yageo,"r10",47000 ohm, 1, 3381, 3143658, 0.00240, 0.0024, https://octopart.com/click/track?country=IN&ak=17001198&sig=044d537&sid=2454&ppid=55402890&vpid=416981918&ct=offers, Future Electronics
8,"c0603c105k3ractu",Kemet,"c1,c24,c30,c31,c37",1.0E-6 F, 5, 143, C0603C105K3RACTU**MULT1, 0.20540, 1.027, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
9,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c25,c26,c27",1.0E-7 F, 23, 500, 478-6344-1-ND, 0.12000, 2.76, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b34802&sid=459&ppid=18078370&vpid=34764829&ct=offers, Digi-Key
10,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
11,"GRM188R6YA475KE15D",Murata,"c22",4.7E-6 F, 1, 976213, 490-7205-1-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=09b8009&sid=459&ppid=26982329&vpid=68513476&ct=offers, Digi-Key
12,"06035C103K4Z2A",Avx,"c23",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
13,"C0402C100K3GACTU",Kemet,"c28,c29",1.0E-11 F, 2, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.4434, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
14,"RC0603FR-071K27L",Yageo,"r14",1270 ohm, 1, 4752, RC0603FR-071K27L, 0.01350, 0.0135, https://octopart.com/click/track?country=IN&ak=17001198&sig=05b85f3&sid=2412&ppid=39787701&vpid=118395463&ct=offers, Quest
15,"arducam_ov2640",Arducam,"u3",arducam_ov2640 , 1, na, na, na, na, na, na
16,"MX25R6435FZAIH0",Macronix,"u4",MX25R6435FZAIH0 , 1, 419, MX25R6435FZAIH0, 1.84010, 1.8401, https://octopart.com/click/track?country=IN&ak=17001198&sig=019126a&sid=1106&ppid=71101141&vpid=252043014&ct=offers, Arrow
17,"61400416021",Wurth Electronics,"u5",61400416021 , 1, 655, 19P1280, 0.82300, 0.823, https://octopart.com/click/track?country=IN&ak=17001198&sig=039ca3f&sid=2402&ppid=21041530&vpid=49997710&ct=offers, Newark
18,"prtr5v0u2ax",NXP,"u6",prtr5v0u2ax , 1, 28, PRTR5V0U2AX, 0.40000, 0.4, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b89f8&sid=2412&ppid=7883294&vpid=248200500&ct=offers, Quest
19,"Dummy Connector Part",Dummy,"u22",Dummy Connector Part , 1, na, na, na, na, na, na
20,"ABS07-32.768KHZ-7-T",ABRACON,"u7",ABS07-32.768KHZ-7-T , 1, 806, 6065130, 0.37500, 0.375, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e162bd&sid=2454&ppid=657767&vpid=109606380&ct=offers, Future Electronics
21,"ASFL1-25MHZ-NCS",Abracon,"u8",ASFL1-25MHZ-NCS , 1, na, na, na, na, na, na
22,"c0402c103k3rac",Kemet,"c32,c33,c34,c44,c47,c57,c58,c59",1.0E-8 F, 8, 118031, C0402C103K3RAC, 0.04500, 0.36, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
23,"idt74fct38072",IDT,"u9",idt74fct38072 , 1, na, na, na, na, na, na
24,"LP3878SDX-ADJ/NOPB ",TI,"u10,u12,u13",LP3878SDX-ADJ/NOPB  , 3, 1811, 926-LP3878SDXADJNOPB, 2.15000, 6.45, https://octopart.com/click/track?country=IN&ak=17001198&sig=0aea548&sid=2401&ppid=24851991&vpid=271405020&ct=offers, Mouser
25,"RC0603JR-07100KL",Yageo,"r19,r24,r27",100000 ohm, 3, 34348, RC0603JR-07100KL, 0.01500, 0.045, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b5505b&sid=2412&ppid=55458503&vpid=195934242&ct=offers, Quest
26,"C1210C106K5PACTU",Kemet,"c35,c45,c48",1.0E-5 F, 3, 23365, C1210C106K5PACTU**MULT1, 0.78550, 2.3565, https://octopart.com/click/track?country=IN&ak=17001198&sig=05a84ef&sid=1106&ppid=34997840&vpid=169995013&ct=offers, Arrow
27,"grm219R60J106ME19D",Murata,"c36,c49",1.0E-5 F, 2, 3400, GRM219R60J106ME19D**MULT, 0.22050, 0.441, https://octopart.com/click/track?country=IN&ak=17001198&sig=0aba6c4&sid=1106&ppid=7895572&vpid=324293768&ct=offers, Arrow
28,"RC0603JR-07200RL",Yageo,"r20,r28",200 ohm, 2, 3426, 68R0166, 0.00100, 0.002, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b40c0&sid=2402&ppid=1289196&vpid=21831780&ct=offers, Newark
