S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r12,r13,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r32,r33",10000 ohm, 15, 8603, 2879583, 0.00240, 0.036, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2",1000 ohm, 1, 5774, RC0603JR-071KL, 0.00170, 0.0017, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"RC0603JR-07910RL",Yageo,"r3",910 ohm, 1, 50, C1S900100949831, 0.04390, 0.0439, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c34cf3&sid=13512&ppid=1162648&vpid=281203337&ct=offers, Chip One Stop Japan
4,"RC0603JR-074K7L",Yageo,"r4,r5,r6,r7",4700 ohm, 4, 29513, RC0603JR-074K7L, 0.01500, 0.06, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"RC0603JR-072K2L",Yageo,"r8,r9,r10,r11",2200 ohm, 4, 55853, 98K7303, 0.00100, 0.004, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
6,"STM32F777BIT6",ST Micro,"u1",STM32F777BIT6 , 1, 17, STM32F777BIT6, 14.90900, 14.909, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f5b625&sid=1106&ppid=74146088&vpid=271699558&ct=offers, Arrow
7,"c0603c105k3ractu",Kemet,"c1,c25,c43,c46",1.0E-6 F, 4, 143, C0603C105K3RACTU**MULT1, 0.20540, 0.8216, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
8,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c21,c26",1.0E-7 F, 20, 500, 478-6344-6-ND, 0.12000, 2.4, https://octopart.com/click/track?country=IN&ak=17001198&sig=09cb1df&sid=459&ppid=18078370&vpid=34764830&ct=offers, Digi-Key
9,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
10,"GRM188R6YA475KE15D",Murata,"c20",4.7E-6 F, 1, 976213, 490-7205-6-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767ac1&sid=459&ppid=26982329&vpid=68513478&ct=offers, Digi-Key
11,"c0603c225k8ractu",Kemet,"c22,c23,c39,c42",2.2E-6 F, 4, 1244, 96Y7019, 0.22000, 0.88, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
12,"06035C103K4Z2A",Avx,"c24",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
13,"C0402C100K3GACTU",Kemet,"c27,c28,c29,c30",1.0E-11 F, 4, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.8868, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
14,"CC3200MODR1M2AMOBT",Texas Instruments,"u2",CC3200MODR1M2AMOBT , 1, 421, CC3200MODR1M2AMOBT**MULT, 17.17200, 17.172, https://octopart.com/click/track?country=IN&ak=17001198&sig=02f6189&sid=1106&ppid=49452342&vpid=180754968&ct=offers, Arrow
15,"73412-0114",Molex,"u3",73412-0114 , 1, 534, 64T4862, 0.28600, 0.286, https://octopart.com/click/track?country=IN&ak=17001198&sig=0875640&sid=2402&ppid=10497645&vpid=43997732&ct=offers, Newark
16,"mcfT0BT3N6",Multicomp ,"i1",3.6E-9 H, 1, 9780, 06W0839, 0.03100, 0.031, https://octopart.com/click/track?country=IN&ak=17001198&sig=06b5015&sid=2402&ppid=23276703&vpid=59000589&ct=offers, Newark
17,"c0402c109c3gactu",Kemet,"c31",1.0E-12 F, 1, 10000, 80-C0402C109C3G, 0.30000, 0.3, https://octopart.com/click/track?country=IN&ak=17001198&sig=0abeaf2&sid=2401&ppid=15681336&vpid=37712322&ct=offers, Mouser
18,"c1210c224k5ractu",Kemet,"c32",2.2E-5 F, 1, 585, C1210C224K5RACTU, 0.04000, 0.04, https://octopart.com/click/track?country=IN&ak=17001198&sig=040d68b&sid=13803&ppid=106380&vpid=53541722&ct=offers, ExcessParts.Net
19,"c0402c104k3ractu",Kemet,"c33,c34,c38,c40,c41,c47,c51,c55,c57",1.0E-7 F, 9, 7350, C0402C104K3RACTU**MULT1, 0.04050, 0.3645, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
20,"RC0603JR-07100KL",Yageo,"r14,r29,r31",100000 ohm, 3, 34348, RC0603JR-07100KL, 0.01500, 0.045, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b5505b&sid=2412&ppid=55458503&vpid=195934242&ct=offers, Quest
21,"RC0603JR-072K7L",Yageo,"r15",2700 ohm, 1, 6763, 68R0161, 0.00100, 0.001, https://octopart.com/click/track?country=IN&ak=17001198&sig=00511c2&sid=2402&ppid=39817607&vpid=115424275&ct=offers, Newark
22,"24AA1025T-I/SN",Microchip,"u4",24AA1025T-I/SN , 1, 3300, 86W6591, 3.05000, 3.05, https://octopart.com/click/track?country=IN&ak=17001198&sig=09fdf58&sid=2402&ppid=17794448&vpid=78590939&ct=offers, Newark
23,"c0402c103k3rac",Kemet,"c35,c36,c37,c44,c54,c56,c58,c59,c60,c61",1.0E-8 F, 10, 118031, C0402C103K3RAC, 0.04500, 0.45, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
24,"mt28ew512aba1HPC-0AAT",Micron,"u5",mt28ew512aba1HPC-0AAT , 1, na, na, na, na, na, na
25,"TUSB1210BRHBR",Texas Instruments,"u6",TUSB1210BRHBR , 1, 7319, TUSB1210BRHBR, 1.61000, 1.61, https://octopart.com/click/track?country=IN&ak=17001198&sig=097ed05&sid=5832&ppid=18515835&vpid=182254004&ct=offers, Rochester Electronics
26,"10118193-0001LF",FCI,"u7",10118193-0001LF , 1, 10033, 70236827, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e47faf&sid=14&ppid=21265435&vpid=50118000&ct=offers, Allied Electronics
27,"prtr5v0u2ax",NXP,"u8",prtr5v0u2ax , 1, 28, PRTR5V0U2AX, 0.40000, 0.4, https://octopart.com/click/track?country=IN&ak=17001198&sig=03b89f8&sid=2412&ppid=7883294&vpid=248200500&ct=offers, Quest
28,"ABS07-32.768KHZ-7-T",ABRACON,"u9",ABS07-32.768KHZ-7-T , 1, 806, 6065130, 0.37500, 0.375, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e162bd&sid=2454&ppid=657767&vpid=109606380&ct=offers, Future Electronics
29,"ABLS-25.000MHZ-B2F-T",ABRACON,"u10",ABLS-25.000MHZ-B2F-T , 1, 498, 6208136, 0.20500, 0.205, https://octopart.com/click/track?country=IN&ak=17001198&sig=0633348&sid=2454&ppid=46720&vpid=19641011&ct=offers, Future Electronics
30,"ASFL1-19.2MHZ-NCS",Abracon,"u11",ASFL1-19.2MHZ-NCS , 1, na, na, na, na, na, na
31,"LTC3601EUD#PBF",Linear Tech,"u12",LTC3601EUD#PBF , 1, 22, C107866, 3.04070, 3.0407, https://octopart.com/click/track?country=IN&ak=17001198&sig=08386b7&sid=27971&ppid=12421185&vpid=445982972&ct=offers, LCSC
32,"c0805c106k8ractu",Kemet,"c45",1.0E-5 F, 1, 2460, C0805C106K8RAC, 0.13419, 0.13419, https://octopart.com/click/track?country=IN&ak=17001198&sig=0d23c94&sid=1532&ppid=22566626&vpid=278058562&ct=offers, TME
33,"c5750x5r1a686m",TDK,"c48",6.8E-5 F, 1, 6531, C5750X5R1A686M, 2.06000, 2.06, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b1c448&sid=2429&ppid=193921&vpid=7540865&ct=offers, Onlinecomponents.com
34,"dr1040-3r8-r",Coiltronics,"i2",3.8E-6 H, 1, 809, 70037963, 0.85300, 0.853, https://octopart.com/click/track?country=IN&ak=17001198&sig=0597ab9&sid=14&ppid=42334315&vpid=131245355&ct=offers, Allied Electronics
35,"RC0603JR-0720KL",Yageo,"r26",20000 ohm, 1, 814, 68R0163, 0.00100, 0.001, https://octopart.com/click/track?country=IN&ak=17001198&sig=0cc65bd&sid=2402&ppid=5035938&vpid=21831781&ct=offers, Newark
36,"RC0603JR-0739KL",Yageo,"r27",39000 ohm, 1, 5065, 68R0185, 0.06000, 0.06, https://octopart.com/click/track?country=IN&ak=17001198&sig=028f7ab&sid=2402&ppid=40953104&vpid=115424286&ct=offers, Newark
37,"RC0603JR-07300KL",Yageo,"r28,r35",300000 ohm, 2, 10, C1S900100876128, 0.04530, 0.0906, https://octopart.com/click/track?country=IN&ak=17001198&sig=0673fe7&sid=13512&ppid=1245148&vpid=281202044&ct=offers, Chip One Stop Japan
38,"LP2951ACSDX/NOPB",TI,"u13",LP2951ACSDX/NOPB , 1, 4325, LP2951ACSDX/NOPB, 0.54000, 0.54, https://octopart.com/click/track?country=IN&ak=17001198&sig=0636618&sid=5832&ppid=24851006&vpid=188220920&ct=offers, Rochester Electronics
39,"na",Na,"c49",8.0E-7 F, 1, na, na, na, 0, na, na
40,"grm32DR61E106MA12L",Murata,"c50",1.0E-5 F, 1, 1000, GRM32DR61E106MA12L/BKN, 0.22500, 0.225, https://octopart.com/click/track?country=IN&ak=17001198&sig=083eeb6&sid=5822&ppid=12608370&vpid=274948814&ct=offers, Avnet
41,"na",Na,"r30",153694.38 ohm, 1, na, na, na, 0, na, na
42,"TPS3895ADRYR",Texas Instruments,"u14",TPS3895ADRYR , 1, 5974, TPS3895ADRYR**MULT1, 1.29010, 1.2901, https://octopart.com/click/track?country=IN&ak=17001198&sig=07f86ef&sid=1106&ppid=20402782&vpid=218190074&ct=offers, Arrow
43,"RC0603JR-0782KL",Yageo,"r34",82000 ohm, 1, 20000, RC0603JR-0782KL, 0.00040, 0.0004, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e4c719&sid=14968&ppid=55508107&vpid=195893986&ct=offers, Wuhan P&S
44,"RC0603JR-07120KL",Yageo,"r36",120000 ohm, 1, 4249, 98K7293, 0.00900, 0.009, https://octopart.com/click/track?country=IN&ak=17001198&sig=0915003&sid=2402&ppid=39800735&vpid=20052781&ct=offers, Newark
45,"PJ-037B",CUI Inc.,"j1",PJ-037B , 1, 2992, PJ-037B, 0.52070, 0.5207, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b1af4e&sid=1106&ppid=19052755&vpid=419917382&ct=offers, Arrow
46,"edk107m035a9haa",Kemet,"c52,c53",0.0001 F, 2, 100, EDK107M035A9HAA**MULT1, 0.39730, 0.7946, https://octopart.com/click/track?country=IN&ak=17001198&sig=007cfef&sid=1106&ppid=22264495&vpid=426255696&ct=offers, Arrow
47,"LSF0102DCTR",Texas Instrument,"u15",LSF0102DCTR , 1, 2456, LSF0102DCTR**MULT1, 0.51620, 0.5162, https://octopart.com/click/track?country=IN&ak=17001198&sig=02beb3d&sid=1106&ppid=34852201&vpid=145270156&ct=offers, Arrow
48,"RC0603JR-07200KL",Yageo,"r37",200000 ohm, 1, 2359, 68R0165, 0.06000, 0.06, https://octopart.com/click/track?country=IN&ak=17001198&sig=0dcda9c&sid=2402&ppid=1271114&vpid=21831779&ct=offers, Newark
49,"4-1437565-2",TE Connectivity,"u16",4-1437565-2 , 1, 10048, 4-1437565-2, 0.13990, 0.1399, https://octopart.com/click/track?country=IN&ak=17001198&sig=0197755&sid=15568&ppid=46507618&vpid=181308557&ct=offers, Sager Electronics
50,"Q65110A2395",Osram,"u17",Q65110A2395 , 1, 1182, LG M67K-G1J2-24-Z**MULT1, 0.29880, 0.2988, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e598e4&sid=1106&ppid=31091237&vpid=90894266&ct=offers, Arrow
51,"nc7sz125m5x",On Semi,"u18,u19,u20,u21",nc7sz125m5x , 4, 1945, NC7SZ125M5X, 0.03000, 0.12, https://octopart.com/click/track?country=IN&ak=17001198&sig=041986c&sid=13803&ppid=425682&vpid=81172668&ct=offers, ExcessParts.Net
,,,,, , , , Total , 56.16669 $ , 
