S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"na",Na,"i1,i2,i3,i4",97 H, 4, na, na, na, 0, na, na
2,"RC0603JR-074K7L",Yageo,"r1,r2,r3,r4,r46",4700 ohm, 5, 29513, RC0603JR-074K7L, 0.01500, 0.075, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
3,"RC0603JR-072K2L",Yageo,"r5,r6,r7,r8",2200 ohm, 4, 55803, 98K7303, 0.00100, 0.004, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
4,"TMS320DM8147SCYE2",Texas Instruments,"u1",TMS320DM8147SCYE2 , 1, 60, TMS320DM8147SCYE2, 69.84000, 69.84, https://octopart.com/click/track?country=IN&ak=17001198&sig=006a5af&sid=5489&ppid=24401315&vpid=436731363&ct=offers, Verical
5,"MD-40S",CUI Inc,"u2",MD-40S , 1, 4279, CP-2440-ND, 1.04000, 1.04, https://octopart.com/click/track?country=IN&ak=17001198&sig=09dafdd&sid=459&ppid=237423&vpid=1944517&ct=offers, Digi-Key
6,"MAX4995AAUT+T",Maxim,"u3",MAX4995AAUT+T , 1, 2472, MAX4995AAUT+T/BKN, 3.10157, 3.10157, https://octopart.com/click/track?country=IN&ak=17001198&sig=0012ba4&sid=5822&ppid=43946224&vpid=328799199&ct=offers, Avnet
7,"RC0603JR-0747KL",Yageo,"r9,r63",47000 ohm, 2, 3381, 3143658, 0.00240, 0.0048, https://octopart.com/click/track?country=IN&ak=17001198&sig=044d537&sid=2454&ppid=55402890&vpid=416981918&ct=offers, Future Electronics
8,"RC0603JR-07100KL",Yageo,"r10,r11,r12,r13,r14,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r55,r61,r62,r64,r68,r70,r71,r73",100000 ohm, 24, 34348, RC0603JR-07100KL, 0.01500, 0.36, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b5505b&sid=2412&ppid=55458503&vpid=195934242&ct=offers, Quest
9,"c0402c120k3rac",Kemet,"c1,c2,c3,c4",1.2E-11 F, 4, na, na, na, na, na, na
10,"c0402c104k3ractu",Kemet,"c5,c6,c7,c8,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c44,c45,c46,c47,c48,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c61,c62,c63,c64,c65,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c135,c136,c143,c146,c148,c149,c154,c164,c170,c176",1.0E-7 F, 66, 7350, C0402C104K3RACTU**MULT1, 0.04050, 2.673, https://octopart.com/click/track?country=IN&ak=17001198&sig=02cd677&sid=1106&ppid=71105629&vpid=421499105&ct=offers, Arrow
11,"RC0603FR-0749R9L",Yageo,"r15,r16",49.9 ohm, 2, 44400, RC0603FR-0749R9L, 0.01800, 0.036, https://octopart.com/click/track?country=IN&ak=17001198&sig=04f1a15&sid=2412&ppid=1201777&vpid=34915966&ct=offers, Quest
